date,133.138.0.0/16|133.4.128.0/18,150.52.0.0/16,163.221.0.0/16,202.0.73.0/24,202.244.32.0/21,202.249.0.0/18,203.178.128.0/17,202.25.80.0/21,202.244.160.0/19
105,133.69.0.0/16|133.203.0.0/16,150.20.0.0/16,163.218.0.0/16,202.63.121.0/24,202.244.205.0/21,202.249.29.0/18,203.79.0.0/17,202.37.108.0/21,
112,133.12.0.0/16|133.212.0.0/16,150.55.0.0/16,163.190.0.0/16,202.192.113.0/24,202.116.56.0/21,202.126.60.0/18,203.178.138.0/17,202.222.156.0/21,
119,133.138.0.0/16|133.4.0.0/16,150.52.0.0/16,163.26.0.0/16,202.15.117.0/24,202.235.221.0/21,202.229.51.0/18,203.51.128.0/17,202.29.102.0/21,
126,133.114.0.0/16|133.137.0.0/16,150.170.0.0/16,163.33.0.0/16,202.126.86.0/24,202.233.222.0/21,202.230.197.0/18,203.178.128.0/17,202.103.108.0/21,
202,133.146.0.0/16|133.103.0.0/16,150.72.0.0/16,163.5.0.0/16,,202.247.227.0/21,202.254.228.0/18,203.76.151.0/17,,
209,133.90.0.0/16|133.226.0.0/16,150.203.0.0/16,163.61.0.0/16,,202.243.200.0/21,202.251.184.0/18,203.117.0.0/17,202.71.212.0/21,
216,133.138.0.0/16|133.123.0.0/16,150.215.0.0/16,163.33.0.0/16,,202.228.196.0/21,202.233.39.0/18,203.77.128.0/17,202.105.109.0/21,
223,133.237.0.0/16|133.25.0.0/16,150.197.0.0/16,163.105.0.0/16,,202.200.68.0/21,202.199.70.0/18,203.205.0.0/17,,
302,133.229.0.0/16|133.26.0.0/16,150.53.0.0/16,163.101.0.0/16,202.13.118.0/24,202.203.220.0/21,202.196.196.0/18,203.78.128.0/17,202.29.124.0/21,
309,133.75.0.0/16|133.251.0.0/16,150.244.0.0/16,163.37.0.0/16,202.95.46.0/24,202.247.230.0/21,202.249.125.0/18,203.141.58.0/17,,
316,133.61.0.0/16|133.244.0.0/16,150.202.0.0/16,163.34.0.0/16,,202.148.99.0/21,202.152.155.0/18,203.14.128.0/17,,
323,133.145.0.0/16|133.106.0.0/16,150.53.0.0/16,163.29.0.0/16,,202.11.168.0/21,202.5.46.0/18,203.178.117.0/17,202.153.109.0/21,
330,133.123.0.0/16|133.235.0.0/16,150.55.0.0/16,163.33.0.0/16,202.8.166.0/24,202.176.219.0/21,202.185.26.0/18,203.51.173.0/17,202.25.116.0/21,
406,133.118.0.0/16|133.131.0.0/16,150.162.0.0/16,163.226.0.0/16,,202.220.161.0/21,202.213.100.0/18,203.190.48.0/17,,
413,133.74.0.0/16|133.244.0.0/16,150.84.0.0/16,163.34.0.0/16,,,202.30.137.0/18,203.177.128.0/17,202.231.43.0/21,
420,133.10.0.0/16|133.252.0.0/16,150.52.0.0/16,163.225.0.0/16,,,202.169.34.0/18,203.196.0.0/17,,
0427,133.50.0.0/16|133.186.0.0/16,150.13.0.0/16,163.222.0.0/16,202.192.49.0/24,202.18.122.0/21,202.24.106.0/18,203.178.128.0/17,202.217.91.0/21,
504,133.149.0.0/16|133.97.0.0/16,150.184.0.0/16,163.19.0.0/16,202.159.185.0/24,202.2.47.0/21,202.9.194.0/18,203.77.0.0/17,202.136.146.0/21,
511,133.245.0.0/16|133.14.0.0/16,150.14.0.0/16,163.94.0.0/16,,202.18.33.0/21,202.24.236.0/18,203.82.128.0/17,,
518,133.141.0.0/16|133.7.0.0/16,150.40.0.0/16,163.25.0.0/16,,202.200.222.0/21,202.198.232.0/18,203.82.128.0/17,,
525,133.149.0.0/16|133.61.0.0/16,150.53.0.0/16,163.189.0.0/16,,,202.9.110.0/18,203.61.0.0/17,,
0601,133.75.0.0/16|133.251.0.0/16,150.43.0.0/16,163.90.0.0/16,,202.116.31.0/21,202.126.68.0/18,203.178.128.0/17,,
0608,133.178.0.0/16|133.57.0.0/16,150.52.0.0/16,163.217.0.0/16,,202.9.220.0/21,202.7.247.0/18,203.114.128.0/17,,
0615,133.236.0.0/16|133.24.0.0/16,150.200.0.0/16,163.134.0.0/16,,202.135.219.0/21,202.137.41.0/18,203.204.128.0/17,202.225.80.0/21,
0622,133.116.0.0/16|133.155.0.0/16,150.251.0.0/16,163.210.0.0/16,,,202.9.31.0/18,203.138.0.0/17,202.185.82.0/21,
