date,133.138.0.0/16|133.4.128.0/18,150.52.0.0/16,163.221.0.0/16,202.0.73.0/24,202.244.32.0/21,202.249.0.0/18,203.178.128.0/17,202.25.80.0/21,202.244.160.0/19
331,133.238.0.0/16|133.4.0.0/16,150.53.0.0/16,163.220.0.0/16,202.15.186.0/24,202.138.32.0/21,202.135.192.0/18,203.49.0.0/17,202.25.171.0/21,202.138.192.0/19
407,133.3.0.0/16|133.228.0.0/16,150.51.0.0/16,163.253.0.0/16,202.23.182.0/24,202.140.32.0/21,202.133.0.0/18,203.200.128.0/17,202.5.114.0/21,202.140.192.0/19
414,133.10.0.0/16|133.252.0.0/16,150.36.0.0/16,163.162.0.0/16,,202.20.96.0/21,202.25.64.0/18,203.108.128.0/17,202.214.77.0/21,202.20.128.0/19
421,133.141.0.0/16|133.8.0.0/16,150.55.0.0/16,163.226.0.0/16,202.0.59.0/24,202.247.144.0/21,202.254.192.0/18,203.178.128.0/17,202.25.83.0/21,202.247.64.0/19
428,133.149.0.0/16|133.1.0.0/16,150.183.0.0/16,163.32.0.0/16,202.96.52.0/24,202.199.216.0/21,202.201.64.0/18,203.69.0.0/17,202.119.152.0/21,202.199.64.0/19
505,133.74.0.0/16|133.196.0.0/16,150.243.0.0/16,163.83.0.0/16,202.38.166.0/24,202.252.232.0/21,202.247.64.0/18,203.14.0.0/17,202.53.48.0/21,202.252.64.0/19
512,133.121.0.0/16|133.242.0.0/16,150.203.0.0/16,163.34.0.0/16,202.247.56.0/24,202.19.64.0/21,202.25.0.0/18,203.178.0.0/17,202.229.40.0/21,202.19.160.0/19
519,133.137.0.0/16|133.2.0.0/16,150.211.0.0/16,163.163.0.0/16,202.163.203.0/24,202.149.200.0/21,202.152.0.0/18,203.46.128.0/17,202.25.144.0/21,202.149.64.0/19
526,133.133.0.0/16|133.21.0.0/16,150.52.0.0/16,163.26.0.0/16,202.108.70.0/24,202.244.40.0/21,202.249.128.0/18,203.177.0.0/17,202.126.208.0/21,202.244.128.0/19
602,133.42.0.0/16|133.250.0.0/16,150.202.0.0/16,163.45.0.0/16,202.253.53.0/24,202.117.32.0/21,202.125.0.0/18,203.1.0.0/17,202.227.40.0/21,202.117.160.0/19
609,133.105.0.0/16|133.196.0.0/16,150.251.0.0/16,163.221.0.0/16,202.92.65.0/24,202.244.40.0/21,202.253.192.0/18,203.64.128.0/17,202.70.80.0/21,202.244.192.0/19
616,133.133.0.0/16|133.3.0.0/16,150.20.0.0/16,163.33.0.0/16,202.127.185.0/24,202.232.200.0/21,202.230.128.0/18,203.85.0.0/17,202.102.168.0/21,202.232.64.0/19
622,133.85.0.0/16|133.135.0.0/16,150.132.0.0/16,163.57.0.0/16,202.63.217.0/24,202.244.80.0/21,202.249.0.0/18,203.76.128.0/17,202.46.208.0/21,202.244.160.0/19
630,133.22.0.0/16|133.251.0.0/16,150.52.0.0/16,163.194.0.0/16,202.7.181.0/24,202.243.224.0/21,202.250.0.0/18,203.49.0.0/17,202.25.168.0/21,202.243.0.0/19
707,133.148.0.0/16|133.99.0.0/16,150.188.0.0/16,163.50.0.0/16,202.0.73.0/24,202.243.64.0/21,202.249.64.0/18,203.178.0.0/17,202.22.224.0/21,202.243.160.0/19
714,133.11.0.0/16|133.183.0.0/16,150.203.0.0/16,163.37.0.0/16,202.252.73.0/24,202.11.32.0/21,202.1.0.0/18,203.15.0.0/17,202.229.64.0/21,202.11.128.0/19
721,133.117.0.0/16|133.218.192.0/18,150.8.0.0/16,163.50.0.0/16,202.153.137.0/24,202.13.56.0/21,202.7.0.0/18,203.125.0.0/17,202.137.80.0/21,202.13.160.0/19
728,133.117.0.0/16|133.240.128.0/18,150.72.0.0/16,163.34.0.0/16,202.249.174.0/24,202.17.96.0/21,202.25.0.0/18,203.170.0.0/17,202.231.40.0/21,202.17.128.0/19
804,133.75.0.0/16|133.228.64.0/18,150.4.0.0/16,163.189.0.0/16,202.0.121.0/24,202.248.32.0/21,202.246.192.0/18,203.179.0.0/17,202.25.80.0/21,202.248.160.0/19
811,133.10.0.0/16|133.251.0.0/18,150.228.0.0/16,163.218.0.0/16,202.63.183.0/24,202.148.32.0/21,202.153.0.0/18,203.242.128.0/17,202.33.160.0/21,202.148.128.0/19
818,133.131.0.0/16|133.7.64.0/18,150.200.0.0/16,163.221.0.0/16,202.84.152.0/21,202.84.152.0/21,202.89.0.0/18,203.173.0.0/17,202.230.216.0/21,202.84.96.0/19
